trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
56,19:40:00,19:40:00,node/6197929079,1,,,,,
56,19:42:00,19:42:00,node/6197929073,2,,,,,
56,19:43:00,19:43:00,node/6197929075,3,,,,,
56,19:44:00,19:44:00,node/6197929084,4,,,,,
56,19:45:00,19:45:00,node/6197929485,5,,,,,
56,19:46:00,19:46:00,node/6197929487,6,,,,,
56,19:47:00,19:47:00,node/6197947265,7,,,,,
56,19:48:00,19:48:00,node/6197947267,8,,,,,
56,19:48:51,19:48:51,node/6197947268,9,,,,,
56,19:50:00,19:50:00,node/6197947273,10,,,,,
56,19:53:00,19:53:00,node/6197929079,11,,,,,
54,19:14:00,19:14:00,node/6197929079,1,,,,,
54,19:16:00,19:16:00,node/6197929073,2,,,,,
54,19:17:00,19:17:00,node/6197929075,3,,,,,
54,19:18:00,19:18:00,node/6197929084,4,,,,,
54,19:19:00,19:19:00,node/6197929485,5,,,,,
54,19:20:00,19:20:00,node/6197929487,6,,,,,
54,19:21:00,19:21:00,node/6197947265,7,,,,,
54,19:22:00,19:22:00,node/6197947267,8,,,,,
54,19:22:51,19:22:51,node/6197947268,9,,,,,
54,19:24:00,19:24:00,node/6197947273,10,,,,,
54,19:27:00,19:27:00,node/6197929079,11,,,,,
42,16:38:00,16:38:00,node/6197929079,1,,,,,
42,16:40:00,16:40:00,node/6197929073,2,,,,,
42,16:41:00,16:41:00,node/6197929075,3,,,,,
42,16:42:00,16:42:00,node/6197929084,4,,,,,
42,16:43:00,16:43:00,node/6197929485,5,,,,,
42,16:44:00,16:44:00,node/6197929487,6,,,,,
42,16:45:00,16:45:00,node/6197947265,7,,,,,
42,16:46:00,16:46:00,node/6197947267,8,,,,,
42,16:46:51,16:46:51,node/6197947268,9,,,,,
42,16:48:00,16:48:00,node/6197947273,10,,,,,
42,16:51:00,16:51:00,node/6197929079,11,,,,,
48,17:56:00,17:56:00,node/6197929079,1,,,,,
48,17:58:00,17:58:00,node/6197929073,2,,,,,
48,17:59:00,17:59:00,node/6197929075,3,,,,,
48,18:00:00,18:00:00,node/6197929084,4,,,,,
48,18:01:00,18:01:00,node/6197929485,5,,,,,
48,18:02:00,18:02:00,node/6197929487,6,,,,,
48,18:03:00,18:03:00,node/6197947265,7,,,,,
48,18:04:00,18:04:00,node/6197947267,8,,,,,
48,18:04:51,18:04:51,node/6197947268,9,,,,,
48,18:06:00,18:06:00,node/6197947273,10,,,,,
48,18:09:00,18:09:00,node/6197929079,11,,,,,
43,16:51:00,16:51:00,node/6197929079,1,,,,,
43,16:53:00,16:53:00,node/6197929073,2,,,,,
43,16:54:00,16:54:00,node/6197929075,3,,,,,
43,16:55:00,16:55:00,node/6197929084,4,,,,,
43,16:56:00,16:56:00,node/6197929485,5,,,,,
43,16:57:00,16:57:00,node/6197929487,6,,,,,
43,16:58:00,16:58:00,node/6197947265,7,,,,,
43,16:59:00,16:59:00,node/6197947267,8,,,,,
43,16:59:51,16:59:51,node/6197947268,9,,,,,
43,17:01:00,17:01:00,node/6197947273,10,,,,,
43,17:04:00,17:04:00,node/6197929079,11,,,,,
60,20:32:00,20:32:00,node/6197929079,1,,,,,
60,20:34:00,20:34:00,node/6197929073,2,,,,,
60,20:35:00,20:35:00,node/6197929075,3,,,,,
60,20:36:00,20:36:00,node/6197929084,4,,,,,
60,20:37:00,20:37:00,node/6197929485,5,,,,,
60,20:38:00,20:38:00,node/6197929487,6,,,,,
60,20:39:00,20:39:00,node/6197947265,7,,,,,
60,20:40:00,20:40:00,node/6197947267,8,,,,,
60,20:40:51,20:40:51,node/6197947268,9,,,,,
60,20:42:00,20:42:00,node/6197947273,10,,,,,
60,20:45:00,20:45:00,node/6197929079,11,,,,,
61,20:45:00,20:45:00,node/6197929079,1,,,,,
61,20:47:00,20:47:00,node/6197929073,2,,,,,
61,20:48:00,20:48:00,node/6197929075,3,,,,,
61,20:49:00,20:49:00,node/6197929084,4,,,,,
61,20:50:00,20:50:00,node/6197929485,5,,,,,
61,20:51:00,20:51:00,node/6197929487,6,,,,,
61,20:52:00,20:52:00,node/6197947265,7,,,,,
61,20:53:00,20:53:00,node/6197947267,8,,,,,
61,20:53:51,20:53:51,node/6197947268,9,,,,,
61,20:55:00,20:55:00,node/6197947273,10,,,,,
61,20:58:00,20:58:00,node/6197929079,11,,,,,
62,20:58:00,20:58:00,node/6197929079,1,,,,,
62,21:00:00,21:00:00,node/6197929073,2,,,,,
62,21:01:00,21:01:00,node/6197929075,3,,,,,
62,21:02:00,21:02:00,node/6197929084,4,,,,,
62,21:03:00,21:03:00,node/6197929485,5,,,,,
62,21:04:00,21:04:00,node/6197929487,6,,,,,
62,21:05:00,21:05:00,node/6197947265,7,,,,,
62,21:06:00,21:06:00,node/6197947267,8,,,,,
62,21:06:51,21:06:51,node/6197947268,9,,,,,
62,21:08:00,21:08:00,node/6197947273,10,,,,,
62,21:11:00,21:11:00,node/6197929079,11,,,,,
63,21:11:00,21:11:00,node/6197929079,1,,,,,
63,21:13:00,21:13:00,node/6197929073,2,,,,,
63,21:14:00,21:14:00,node/6197929075,3,,,,,
63,21:15:00,21:15:00,node/6197929084,4,,,,,
63,21:16:00,21:16:00,node/6197929485,5,,,,,
63,21:17:00,21:17:00,node/6197929487,6,,,,,
63,21:18:00,21:18:00,node/6197947265,7,,,,,
63,21:19:00,21:19:00,node/6197947267,8,,,,,
63,21:19:51,21:19:51,node/6197947268,9,,,,,
63,21:21:00,21:21:00,node/6197947273,10,,,,,
63,21:24:00,21:24:00,node/6197929079,11,,,,,
64,21:24:00,21:24:00,node/6197929079,1,,,,,
64,21:26:00,21:26:00,node/6197929073,2,,,,,
64,21:27:00,21:27:00,node/6197929075,3,,,,,
64,21:28:00,21:28:00,node/6197929084,4,,,,,
64,21:29:00,21:29:00,node/6197929485,5,,,,,
64,21:30:00,21:30:00,node/6197929487,6,,,,,
64,21:31:00,21:31:00,node/6197947265,7,,,,,
64,21:32:00,21:32:00,node/6197947267,8,,,,,
64,21:32:51,21:32:51,node/6197947268,9,,,,,
64,21:34:00,21:34:00,node/6197947273,10,,,,,
64,21:37:00,21:37:00,node/6197929079,11,,,,,
49,18:09:00,18:09:00,node/6197929079,1,,,,,
49,18:11:00,18:11:00,node/6197929073,2,,,,,
49,18:12:00,18:12:00,node/6197929075,3,,,,,
49,18:13:00,18:13:00,node/6197929084,4,,,,,
49,18:14:00,18:14:00,node/6197929485,5,,,,,
49,18:15:00,18:15:00,node/6197929487,6,,,,,
49,18:16:00,18:16:00,node/6197947265,7,,,,,
49,18:17:00,18:17:00,node/6197947267,8,,,,,
49,18:17:51,18:17:51,node/6197947268,9,,,,,
49,18:19:00,18:19:00,node/6197947273,10,,,,,
49,18:22:00,18:22:00,node/6197929079,11,,,,,
52,18:48:00,18:48:00,node/6197929079,1,,,,,
52,18:50:00,18:50:00,node/6197929073,2,,,,,
52,18:51:00,18:51:00,node/6197929075,3,,,,,
52,18:52:00,18:52:00,node/6197929084,4,,,,,
52,18:53:00,18:53:00,node/6197929485,5,,,,,
52,18:54:00,18:54:00,node/6197929487,6,,,,,
52,18:55:00,18:55:00,node/6197947265,7,,,,,
52,18:56:00,18:56:00,node/6197947267,8,,,,,
52,18:56:51,18:56:51,node/6197947268,9,,,,,
52,18:58:00,18:58:00,node/6197947273,10,,,,,
52,19:01:00,19:01:00,node/6197929079,11,,,,,
53,19:01:00,19:01:00,node/6197929079,1,,,,,
53,19:03:00,19:03:00,node/6197929073,2,,,,,
53,19:04:00,19:04:00,node/6197929075,3,,,,,
53,19:05:00,19:05:00,node/6197929084,4,,,,,
53,19:06:00,19:06:00,node/6197929485,5,,,,,
53,19:07:00,19:07:00,node/6197929487,6,,,,,
53,19:08:00,19:08:00,node/6197947265,7,,,,,
53,19:09:00,19:09:00,node/6197947267,8,,,,,
53,19:09:51,19:09:51,node/6197947268,9,,,,,
53,19:11:00,19:11:00,node/6197947273,10,,,,,
53,19:14:00,19:14:00,node/6197929079,11,,,,,
24,12:12:00,12:12:00,node/6197929079,1,,,,,
24,12:14:00,12:14:00,node/6197929073,2,,,,,
24,12:15:00,12:15:00,node/6197929075,3,,,,,
24,12:16:00,12:16:00,node/6197929084,4,,,,,
24,12:17:00,12:17:00,node/6197929485,5,,,,,
24,12:18:00,12:18:00,node/6197929487,6,,,,,
24,12:19:00,12:19:00,node/6197947265,7,,,,,
24,12:20:00,12:20:00,node/6197947267,8,,,,,
24,12:20:51,12:20:51,node/6197947268,9,,,,,
24,12:22:00,12:22:00,node/6197947273,10,,,,,
24,12:25:00,12:25:00,node/6197929079,11,,,,,
25,12:25:00,12:25:00,node/6197929079,1,,,,,
25,12:27:00,12:27:00,node/6197929073,2,,,,,
25,12:28:00,12:28:00,node/6197929075,3,,,,,
25,12:29:00,12:29:00,node/6197929084,4,,,,,
25,12:30:00,12:30:00,node/6197929485,5,,,,,
25,12:31:00,12:31:00,node/6197929487,6,,,,,
25,12:32:00,12:32:00,node/6197947265,7,,,,,
25,12:33:00,12:33:00,node/6197947267,8,,,,,
25,12:33:51,12:33:51,node/6197947268,9,,,,,
25,12:35:00,12:35:00,node/6197947273,10,,,,,
25,12:38:00,12:38:00,node/6197929079,11,,,,,
26,12:38:00,12:38:00,node/6197929079,1,,,,,
26,12:40:00,12:40:00,node/6197929073,2,,,,,
26,12:41:00,12:41:00,node/6197929075,3,,,,,
26,12:42:00,12:42:00,node/6197929084,4,,,,,
26,12:43:00,12:43:00,node/6197929485,5,,,,,
26,12:44:00,12:44:00,node/6197929487,6,,,,,
26,12:45:00,12:45:00,node/6197947265,7,,,,,
26,12:46:00,12:46:00,node/6197947267,8,,,,,
26,12:46:51,12:46:51,node/6197947268,9,,,,,
26,12:48:00,12:48:00,node/6197947273,10,,,,,
26,12:51:00,12:51:00,node/6197929079,11,,,,,
27,12:51:00,12:51:00,node/6197929079,1,,,,,
27,12:53:00,12:53:00,node/6197929073,2,,,,,
27,12:54:00,12:54:00,node/6197929075,3,,,,,
27,12:55:00,12:55:00,node/6197929084,4,,,,,
27,12:56:00,12:56:00,node/6197929485,5,,,,,
27,12:57:00,12:57:00,node/6197929487,6,,,,,
27,12:58:00,12:58:00,node/6197947265,7,,,,,
27,12:59:00,12:59:00,node/6197947267,8,,,,,
27,12:59:51,12:59:51,node/6197947268,9,,,,,
27,13:01:00,13:01:00,node/6197947273,10,,,,,
27,13:04:00,13:04:00,node/6197929079,11,,,,,
20,11:20:00,11:20:00,node/6197929079,1,,,,,
20,11:22:00,11:22:00,node/6197929073,2,,,,,
20,11:23:00,11:23:00,node/6197929075,3,,,,,
20,11:24:00,11:24:00,node/6197929084,4,,,,,
20,11:25:00,11:25:00,node/6197929485,5,,,,,
20,11:26:00,11:26:00,node/6197929487,6,,,,,
20,11:27:00,11:27:00,node/6197947265,7,,,,,
20,11:28:00,11:28:00,node/6197947267,8,,,,,
20,11:28:51,11:28:51,node/6197947268,9,,,,,
20,11:30:00,11:30:00,node/6197947273,10,,,,,
20,11:33:00,11:33:00,node/6197929079,11,,,,,
21,11:33:00,11:33:00,node/6197929079,1,,,,,
21,11:35:00,11:35:00,node/6197929073,2,,,,,
